Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
5.00	0.100	LB	32    	5.123695767644361e-11
5.00	0.100	LB	33    	2.53126544408083e-11
5.00	0.100	LB	34    	1.250549809293656e-11
5.00	0.100	LB	35    	6.178339615874244e-12
5.00	0.100	LB	36    	3.052451791973857e-12
5.00	0.100	LB	37    	1.508103259190206e-12
5.00	0.100	LB	38    	7.45105398943916e-13
5.00	0.100	LB	39    	3.681357397160323e-13
5.00	0.100	LB	40    	1.818868396561398e-13
5.00	0.100	UB	1     	0.4801450715754254
5.00	0.100	UB	2     	0.2489919748299587
5.00	0.100	UB	3     	0.1414780144525963
5.00	0.100	UB	4     	0.08154933273377764
5.00	0.100	UB	5     	0.04727399096703861
5.00	0.100	UB	6     	0.02754904605544578
5.00	0.100	UB	7     	0.01611108596934659
5.00	0.100	UB	8     	0.009445343867061414
5.00	0.100	UB	9     	0.005547611748857728
5.00	0.100	UB	10    	0.003262762684389559
5.00	0.100	UB	11    	0.001920909455772024
5.00	0.100	UB	12    	0.00113177869528645
5.00	0.100	UB	13    	0.0006672198929126881
5.00	0.100	UB	14    	0.0003935223293459742
5.00	0.100	UB	15    	0.0002321761987217628
5.00	0.100	UB	16    	0.0001370187278895928
5.00	0.100	UB	17    	8.087797029501684e-05
5.00	0.100	UB	18    	4.77473087103321e-05
5.00	0.100	UB	19    	2.819166644998639e-05
5.00	0.100	UB	20    	1.664692903279605e-05
5.00	0.100	UB	21    	9.830599707756061e-06
5.00	0.100	UB	22    	5.805657326366358e-06
5.00	0.100	UB	23    	3.428805378331033e-06
5.00	0.100	UB	24    	2.025116754901686e-06
5.00	0.100	UB	25    	1.196106262522018e-06
5.00	0.100	UB	26    	7.064790947426947e-07
5.00	0.100	UB	27    	4.172887408420394e-07
5.00	0.100	UB	28    	2.464791582783628e-07
5.00	0.100	UB	29    	1.455890277145158e-07
5.00	0.100	UB	30    	8.599654223362781e-08
5.00	0.100	UB	31    	5.079680951098598e-08
5.00	0.100	UB	32    	3.000504982062983e-08
5.00	0.100	UB	33    	1.77236937684587e-08
5.00	0.100	UB	34    	1.046925296143402e-08
5.00	0.100	UB	35    	6.18412704340852e-09
5.00	0.100	UB	36    	3.652936423407774e-09
5.00	0.100	UB	37    	2.157777324671315e-09
5.00	0.100	UB	38    	1.274593725867361e-09
5.00	0.100	UB	39    	7.529002477987004e-10
5.00	0.100	UB	40    	4.447372578381615e-10
5.00	0.125	LB	1     	0.3807246025828066
5.00	0.125	LB	2     	0.1686549180094893
5.00	0.125	LB	3     	0.08842513980943971
5.00	0.125	LB	4     	0.04796230588690277
5.00	0.125	LB	5     	0.02587851024731773
5.00	0.125	LB	6     	0.01412602331002936
5.00	0.125	LB	7     	0.007836034715699471
5.00	0.125	LB	8     	0.004385277798766535
5.00	0.125	LB	9     	0.002464358464286898
5.00	0.125	LB	10    	0.001389447500682074
5.00	0.125	LB	11    	0.0007857188629195065
5.00	0.125	LB	12    	0.0004453369839746288
5.00	0.125	LB	13    	0.0002528439983255934
5.00	0.125	LB	14    	0.0001437490001572553
5.00	0.125	LB	15    	8.181654150881589e-05
5.00	0.125	LB	16    	4.660943898099782e-05
5.00	0.125	LB	17    	2.657231811123506e-05
5.00	0.125	LB	18    	1.515825360774754e-05
5.00	0.125	LB	19    	8.651401738461276e-06
5.00	0.125	LB	20    	4.939734768437428e-06
5.00	0.125	LB	21    	2.821433505674234e-06
5.00	0.125	LB	22    	1.611981166169808e-06
5.00	0.125	LB	23    	9.21199343588726e-07
5.00	0.125	LB	24    	5.265432434304355e-07
5.00	0.125	LB	25    	3.010145218575905e-07
5.00	0.125	LB	26    	1.721085413047468e-07
5.00	0.125	LB	27    	9.841685795638324e-08
5.00	0.125	LB	28    	5.628345593268644e-08
5.00	0.125	LB	29    	3.219063778066657e-08
5.00	0.125	LB	30    	1.841240004102785e-08
5.00	0.125	LB	31    	1.05321860748809e-08
5.00	0.125	LB	32    	6.024901831272248e-09
5.00	0.125	LB	33    	3.446683401919692e-09
5.00	0.125	LB	34    	1.971832038717998e-09
5.00	0.125	LB	35    	1.128114342341171e-09
5.00	0.125	LB	36    	6.454296660678282e-10
5.00	0.125	LB	37    	3.692797999363128e-10
5.00	0.125	LB	38    	2.112863720373752e-10
5.00	0.125	LB	39    	1.208914031080227e-10
5.00	0.125	LB	40    	6.917134512022216e-11
5.00	0.125	UB	1     	0.5387092807398384
5.00	0.125	UB	2     	0.3104195659841991
5.00	0.125	UB	3     	0.1937649371532938
5.00	0.125	UB	4     	0.1226363866166609
5.00	0.125	UB	5     	0.07809369695486183
5.00	0.125	UB	6     	0.05001390609226757
5.00	0.125	UB	7     	0.03215706452620461
5.00	0.125	UB	8     	0.02073407978487921
5.00	0.125	UB	9     	0.01339752094031251
5.00	0.125	UB	10    	0.008671222507355662
5.00	0.125	UB	11    	0.005619409868979239
5.00	0.125	UB	12    	0.003645308876526795
5.00	0.125	UB	13    	0.002366567816327385
5.00	0.125	UB	14    	0.00153735293069917
5.00	0.125	UB	15    	0.0009991786322255441
5.00	0.125	UB	16    	0.0006496577174501395
5.00	0.125	UB	17    	0.0004225364162058104
5.00	0.125	UB	18    	0.0002748875175817947
5.00	0.125	UB	19    	0.0001788693675879922
5.00	0.125	UB	20    	0.0001164099310436027
5.00	0.125	UB	21    	7.577110083836608e-05
5.00	0.125	UB	22    	4.932484384149292e-05
5.00	0.125	UB	23    	3.211201500898041e-05
5.00	0.125	UB	24    	2.090749269228761e-05
5.00	0.125	UB	25    	1.361328975782429e-05
5.00	0.125	UB	26    	8.864336314345029e-06
5.00	0.125	UB	27    	5.772281395371554e-06
5.00	0.125	UB	28    	3.758925621524075e-06
5.00	0.125	UB	29    	2.447892508364144e-06
5.00	0.125	UB	30    	1.594157384822575e-06
5.00	0.125	UB	31    	1.038194047823978e-06
5.00	0.125	UB	32    	6.761342179434528e-07
5.00	0.125	UB	33    	4.40345075746906e-07
5.00	0.125	UB	34    	2.867861901397008e-07
5.00	0.125	UB	35    	1.867787094477793e-07
5.00	0.125	UB	36    	1.216465719842484e-07
5.00	0.125	UB	37    	7.92273604934016e-08
5.00	0.125	UB	38    	5.160037307239512e-08
5.00	0.125	UB	39    	3.360720926607174e-08
5.00	0.125	UB	40    	2.188838359306868e-08
5.00	0.150	LB	1     	0.4512045894455731
5.00	0.150	LB	2     	0.2325076819545217
5.00	0.150	LB	3     	0.1363495506378445
5.00	0.150	LB	4     	0.08263969698054791
5.00	0.150	LB	5     	0.0501755320339879
5.00	0.150	LB	6     	0.03076032423283841
5.00	0.150	LB	7     	0.01909430923072363
5.00	0.150	LB	8     	0.01194953884562584
5.00	0.150	LB	9     	0.007513284163346725
5.00	0.150	LB	10    	0.004740355894568032
5.00	0.150	LB	11    	0.002999546158229834
5.00	0.150	LB	12    	0.001902471422844619
5.00	0.150	LB	13    	0.001208875436954967
5.00	0.150	LB	14    	0.0007692907610745669
5.00	0.150	LB	15    	0.0004901546848538872
5.00	0.150	LB	16    	0.0003126225449050092
5.00	0.150	LB	17    	0.0001995621282289761
5.00	0.150	LB	18    	0.0001274811957631451
5.00	0.150	LB	19    	8.148446569801134e-05
5.00	0.150	LB	20    	5.211028705326283e-05
5.00	0.150	LB	21    	3.333943930012349e-05
5.00	0.150	LB	22    	2.133787857515474e-05
5.00	0.150	LB	23    	1.366088825547731e-05
5.00	0.150	LB	24    	8.74826362332197e-06
5.00	0.150	LB	25    	5.603554802890336e-06
5.00	0.150	LB	26    	3.589966708539853e-06
5.00	0.150	LB	27    	2.300332300817358e-06
5.00	0.150	LB	28    	1.474192431948222e-06
5.00	0.150	LB	29    	9.448715383557545e-07
5.00	0.150	LB	30    	6.056742601224519e-07
5.00	0.150	LB	31    	3.882817910423785e-07
5.00	0.150	LB	32    	2.489379734083087e-07
5.00	0.150	LB	33    	1.596124959215877e-07
5.00	0.150	LB	34    	1.023458554143891e-07
5.00	0.150	LB	35    	6.562930621431447e-08
5.00	0.150	LB	36    	4.208686254575463e-08
5.00	0.150	LB	37    	2.699068257593975e-08
5.00	0.150	LB	38    	1.731001673952515e-08
5.00	0.150	LB	39    	1.110185177885515e-08
5.00	0.150	LB	40    	7.12042534809224e-09
5.00	0.150	UB	1     	0.59463887235617
5.00	0.150	UB	2     	0.374930875106632
5.00	0.150	UB	3     	0.2531471133786498
5.00	0.150	UB	4     	0.1731981180149076
5.00	0.150	UB	5     	0.1192435258870878
5.00	0.150	UB	6     	0.08257104882924175
5.00	0.150	UB	7     	0.05741047815179001
5.00	0.150	UB	8     	0.04003525126291143
5.00	0.150	UB	9     	0.02798297144072557
5.00	0.150	UB	10    	0.01959443906763059
5.00	0.150	UB	11    	0.01374034272450166
5.00	0.150	UB	12    	0.0096463767344697
5.00	0.150	UB	13    	0.006778548586154161
5.00	0.150	UB	14    	0.004766937729298293
5.00	0.150	UB	15    	0.003354382110410433
5.00	0.150	UB	16    	0.002361608451645074
5.00	0.150	UB	17    	0.00166336252494612
5.00	0.150	UB	18    	0.001171974777577181
5.00	0.150	UB	19    	0.0008259931144182579
5.00	0.150	UB	20    	0.0005822915599771858
5.00	0.150	UB	21    	0.0004105757315257896
5.00	0.150	UB	22    	0.0002895479972103502
5.00	0.150	UB	23    	0.0002042257932329094
5.00	0.150	UB	24    	0.0001440633670352188
5.00	0.150	UB	25    	0.0001016345343311158
5.00	0.150	UB	26    	7.17078954378096e-05
5.00	0.150	UB	27    	5.059700953996776e-05
5.00	0.150	UB	28    	3.570344278776376e-05
5.00	0.150	UB	29    	2.519524878007422e-05
5.00	0.150	UB	30    	1.778062736919621e-05
5.00	0.150	UB	31    	1.254851918497492e-05
5.00	0.150	UB	32    	8.856301304610784e-06
5.00	0.150	UB	33    	6.250643106381493e-06
5.00	0.150	UB	34    	4.411717124835342e-06
5.00	0.150	UB	35    	3.113864679045288e-06
5.00	0.150	UB	36    	2.197858063758823e-06
5.00	0.150	UB	37    	1.551337451407559e-06
5.00	0.150	UB	38    	1.095011539944224e-06
5.00	0.150	UB	39    	7.729227539485838e-07
5.00	0.150	UB	40    	5.455791631579251e-07
5.00	0.175	LB	1     	0.5192577240342059
5.00	0.175	LB	2     	0.3025094581553928
5.00	0.175	LB	3     	0.1948500143559774
5.00	0.175	LB	4     	0.1293245728577933
5.00	0.175	LB	5     	0.08630764728489197
5.00	0.175	LB	6     	0.05809273746433371
5.00	0.175	LB	7     	0.03949410735911511
5.00	0.175	LB	8     	0.02704461956380899
5.00	0.175	LB	9     	0.01860636440619953
5.00	0.175	LB	10    	0.01284539473846012
5.00	0.175	LB	11    	0.008893330003016895
5.00	0.175	LB	12    	0.006171469100687278
5.00	0.175	LB	13    	0.004290718425425368
5.00	0.175	LB	14    	0.002987743160636115
5.00	0.175	LB	15    	0.002083138582282578
5.00	0.175	LB	16    	0.001454009320115314
5.00	0.175	LB	17    	0.001015823731422066
5.00	0.175	LB	18    	0.0007102511530646609
5.00	0.175	LB	19    	0.0004969335428111952
5.00	0.175	LB	20    	0.0003478851879760415
5.00	0.175	LB	21    	0.0002436631949223155
5.00	0.175	LB	22    	0.0001707382641534765
5.00	0.175	LB	23    	0.0001196833677223675
5.00	0.175	LB	24    	8.392234126765369e-05
5.00	0.175	LB	25    	5.886324473358548e-05
5.00	0.175	LB	26    	4.129697067637976e-05
5.00	0.175	LB	27    	2.897919639186055e-05
5.00	0.175	LB	28    	2.033935672200901e-05
5.00	0.175	LB	29    	1.427778872836234e-05
5.00	0.175	LB	30    	1.002418306631698e-05
5.00	0.175	LB	31    	7.038723012215911e-06
5.00	0.175	LB	32    	4.942982864500153e-06
5.00	0.175	LB	33    	3.471594466343281e-06
5.00	0.175	LB	34    	2.438420106935598e-06
5.00	0.175	LB	35    	1.71286583364667e-06
5.00	0.175	LB	36    	1.203287953263819e-06
5.00	0.175	LB	37    	8.453640682257672e-07
5.00	0.175	LB	38    	5.939405472583429e-07
5.00	0.175	LB	39    	4.173154508148817e-07
5.00	0.175	LB	40    	2.932282965575179e-07
5.00	0.175	UB	1     	0.6478289797550169
5.00	0.175	UB	2     	0.4414263170804972
5.00	0.175	UB	3     	0.3185936781106813
5.00	0.175	UB	4     	0.2328066806924208
5.00	0.175	UB	5     	0.1711748421692158
5.00	0.175	UB	6     	0.1265588299075746
5.00	0.175	UB	7     	0.09394798337025664
5.00	0.175	UB	8     	0.06994739224985841
5.00	0.175	UB	9     	0.05219995855265788
5.00	0.175	UB	10    	0.03902856210494636
5.00	0.175	UB	11    	0.02922498049204522
5.00	0.175	UB	12    	0.02191117194722425
5.00	0.175	UB	13    	0.01644457142035073
5.00	0.175	UB	14    	0.01235235904083162
5.00	0.175	UB	15    	0.009285108254304564
5.00	0.175	UB	16    	0.006983680490205354
5.00	0.175	UB	17    	0.005255349092399628
5.00	0.175	UB	18    	0.003956445208427902
5.00	0.175	UB	19    	0.002979664402937593
5.00	0.175	UB	20    	0.002244734509747657
5.00	0.175	UB	21    	0.001691525735412845
5.00	0.175	UB	22    	0.001274946201673741
5.00	0.175	UB	23    	0.0009611493766979383
5.00	0.175	UB	24    	0.0007247094917977432
5.00	0.175	UB	25    	0.0005465136836157537
5.00	0.175	UB	26    	0.0004121863642235815
5.00	0.175	UB	27    	0.000310909775483186
5.00	0.175	UB	28    	0.0002345400601404546
5.00	0.175	UB	29    	0.0001769441396672419
5.00	0.175	UB	30    	0.0001335018157409407
5.00	0.175	UB	31    	0.0001007316559521065
5.00	0.175	UB	32    	7.600971445092931e-05
5.00	0.175	UB	33    	5.735793825578422e-05
5.00	0.175	UB	34    	4.32849221349666e-05
5.00	0.175	UB	35    	3.266601380527066e-05
5.00	0.175	UB	36    	2.46530151629891e-05
5.00	0.175	UB	37    	1.860615384652386e-05
5.00	0.175	UB	38    	1.404281962234315e-05
5.00	0.175	UB	39    	1.059892561017215e-05
5.00	0.175	UB	40    	7.999779636561628e-06
5.00	0.200	LB	1     	0.5846061060198962
5.00	0.200	LB	2     	0.3770335597031811
5.00	0.200	LB	3     	0.262964089942909
5.00	0.200	LB	4     	0.1882794083572539
5.00	0.200	LB	5     	0.1357818245023477
5.00	0.200	LB	6     	0.0986750774927377
5.00	0.200	LB	7     	0.07229800207659376
5.00	0.200	LB	8     	0.05330583316432966
5.00	0.200	LB	9     	0.03947621542997847
5.00	0.200	LB	10    	0.02933197759940711
5.00	0.200	LB	11    	0.02185350466040496
5.00	0.200	LB	12    	0.01631812545673716
5.00	0.200	LB	13    	0.01220735940377412
5.00	0.200	LB	14    	0.009146263940162184
5.00	0.200	LB	15    	0.006861725170799165
5.00	0.200	LB	16    	0.005153566685383896
5.00	0.200	LB	17    	0.00387435509654153
5.00	0.200	LB	18    	0.002915083938939602
5.00	0.200	LB	19    	0.00219490155121147
5.00	0.200	LB	20    	0.001653678009088911
5.00	0.200	LB	21    	0.001246592227746735
5.00	0.200	LB	22    	0.0009401693350741746
5.00	0.200	LB	23    	0.0007093666807650198
5.00	0.200	LB	24    	0.0005354228162905977
5.00	0.200	LB	25    	0.000404264545694794
5.00	0.200	LB	26    	0.0003053239937625203
5.00	0.200	LB	27    	0.0002306580593586507
5.00	0.200	LB	28    	0.0001742916058045854
5.00	0.200	LB	29    	0.0001317266651509954
5.00	0.200	LB	30    	9.957512793458015e-05
5.00	0.200	LB	31    	7.528348006566713e-05
5.00	0.200	LB	32    	5.692627902276599e-05
5.00	0.200	LB	33    	4.305104570036601e-05
5.00	0.200	LB	34    	3.256166775785491e-05
5.00	0.200	LB	35    	2.463068400629931e-05
5.00	0.200	LB	36    	1.863325062030766e-05
5.00	0.200	LB	37    	1.409739965229118e-05
5.00	0.200	LB	38    	1.066655001570959e-05
5.00	0.200	LB	39    	8.071239447376916e-06
5.00	0.200	LB	40    	6.107800414338622e-06
5.00	0.200	UB	1     	0.6981581182308129
5.00	0.200	UB	2     	0.5088318681905889
5.00	0.200	UB	3     	0.3888938855530411
5.00	0.200	UB	4     	0.3006083530480121
5.00	0.200	UB	5     	0.233739480738562
5.00	0.200	UB	6     	0.1826839354957573
5.00	0.200	UB	7     	0.1433240231011832
5.00	0.200	UB	8     	0.1127659024580811
5.00	0.200	UB	9     	0.08892491907105493
5.00	0.200	UB	10    	0.0702541155395644
5.00	0.200	UB	11    	0.05558794077947218
5.00	0.200	UB	12    	0.04403915337339293
5.00	0.200	UB	13    	0.03492679085512586
5.00	0.200	UB	14    	0.02772480515496064
5.00	0.200	UB	15    	0.02202471003093189
5.00	0.200	UB	16    	0.01750796849056071
5.00	0.200	UB	17    	0.01392532216007916
5.00	0.200	UB	18    	0.01108116085801533
5.00	0.200	UB	19    	0.008821605289045752
5.00	0.200	UB	20    	0.007025358426370498
5.00	0.200	UB	21    	0.005596642244706795
5.00	0.200	UB	22    	0.004459718398534103
5.00	0.200	UB	23    	0.003554620551788356
5.00	0.200	UB	24    	0.002833819132773309
5.00	0.200	UB	25    	0.002259607282743879
5.00	0.200	UB	26    	0.001802047026306477
5.00	0.200	UB	27    	0.001437352220213393
5.00	0.200	UB	28    	0.001146613106092223
5.00	0.200	UB	29    	0.0009147887490398933
5.00	0.200	UB	30    	0.0007299100369035834
5.00	0.200	UB	31    	0.0005824485107424047
5.00	0.200	UB	32    	0.0004648160226527669
5.00	0.200	UB	33    	0.0003709677587739172
5.00	0.200	UB	34    	0.0002960870348961484
5.00	0.200	UB	35    	0.0002363348549674017
5.00	0.200	UB	36    	0.0001886508109299539
5.00	0.200	UB	37    	0.0001505947183932437
5.00	0.200	UB	38    	0.0001202205974144924
5.00	0.200	UB	39    	9.59763526869986e-05
5.00	0.200	UB	40    	7.662388454167434e-05
5.00	0.225	LB	1     	0.6469411545228856
5.00	0.225	LB	2     	0.4544564101682644
5.00	0.225	LB	3     	0.3392787414853888
5.00	0.225	LB	4     	0.2590002550494748
5.00	0.225	LB	5     	0.199240683427562
5.00	0.225	LB	6     	0.1543212657874605
5.00	0.225	LB	7     	0.1203405451734248
5.00	0.225	LB	8     	0.09434864270989105
5.00	0.225	LB	9     	0.07426567953971454
5.00	0.225	LB	10    	0.05863778605884635
5.00	0.225	LB	11    	0.04641485331777
5.00	0.225	LB	12    	0.03681662992815916
5.00	0.225	LB	13    	0.02925451819391145
5.00	0.225	LB	14    	0.02328024018779325
5.00	0.225	LB	15    	0.01854961330128107
5.00	0.225	LB	16    	0.01479653273169936
5.00	0.225	LB	17    	0.01181409555225644
5.00	0.225	LB	18    	0.009440698230723613
5.00	0.225	LB	19    	0.007549645102806035
5.00	0.225	LB	20    	0.006041293084499609
5.00	0.225	LB	21    	0.00483706298405268
5.00	0.225	LB	22    	0.003874842279651818
5.00	0.225	LB	23    	0.003105435388408624
5.00	0.225	LB	24    	0.002489809066619716
5.00	0.225	LB	25    	0.00199694569783892
5.00	0.225	LB	26    	0.001602164146995158
5.00	0.225	LB	27    	0.001285802125816446
5.00	0.225	LB	28    	0.001032179337029492
5.00	0.225	LB	29    	0.0008287795597634614
5.00	0.225	LB	30    	0.0006656040532440243
5.00	0.225	LB	31    	0.0005346594261864642
5.00	0.225	LB	32    	0.0004295513320205635
5.00	0.225	LB	33    	0.0003451616483646435
5.00	0.225	LB	34    	0.0002773916540037056
5.00	0.225	LB	35    	0.0002229574759599665
5.00	0.225	LB	36    	0.0001792270021737553
5.00	0.225	LB	37    	0.0001440897361988464
5.00	0.225	LB	38    	0.0001158528559427132
5.00	0.225	LB	39    	9.315814039457789e-05
5.00	0.225	LB	40    	7.491553173507457e-05
5.00	0.225	UB	1     	0.7454855128818613
5.00	0.225	UB	2     	0.5760917707612362
5.00	0.225	UB	3     	0.4626795484457228
5.00	0.225	UB	4     	0.3753511736781257
5.00	0.225	UB	5     	0.3061662860602354
5.00	0.225	UB	6     	0.2508953021425275
5.00	0.225	UB	7     	0.2063190162758711
5.00	0.225	UB	8     	0.1701134573739602
5.00	0.225	UB	9     	0.1405607432298474
5.00	0.225	UB	10    	0.1163458782076725
5.00	0.225	UB	11    	0.09644346001324078
5.00	0.225	UB	12    	0.08004419091859966
5.00	0.225	UB	13    	0.06650317640489956
5.00	0.225	UB	14    	0.05530260301923103
5.00	0.225	UB	15    	0.04602415628400311
5.00	0.225	UB	16    	0.03832821360292706
5.00	0.225	UB	17    	0.03193789797377812
5.00	0.225	UB	18    	0.02662670155679152
5.00	0.225	UB	19    	0.02220877880444745
5.00	0.225	UB	20    	0.01853126625407909
5.00	0.225	UB	21    	0.01546816068712328
5.00	0.225	UB	22    	0.01291540866016465
5.00	0.225	UB	23    	0.01078694648959464
5.00	0.225	UB	24    	0.009011491979097983
5.00	0.225	UB	25    	0.007529934859596581
5.00	0.225	UB	26    	0.006293206934008987
5.00	0.225	UB	27    	0.005260538581509636
5.00	0.225	UB	28    	0.004398027851994507
5.00	0.225	UB	29    	0.003677463465959401
5.00	0.225	UB	30    	0.00307535476350876
5.00	0.225	UB	31    	0.002572130838763504
5.00	0.225	UB	32    	0.002151478352451013
5.00	0.225	UB	33    	0.001799793280162672
5.00	0.225	UB	34    	0.001505726459268141
5.00	0.225	UB	35    	0.001259806495379589
5.00	0.225	UB	36    	0.001054126571691726
5.00	0.225	UB	37    	0.000882084119462339
5.00	0.225	UB	38    	0.0007381642702236062
5.00	0.225	UB	39    	0.0006177596098560705
5.00	0.225	UB	40    	0.0005170200621206486
