Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
0.01	0.125	UB	1     	0.3575579226617638
0.01	0.125	UB	2     	0.1452253013951381
0.01	0.125	UB	3     	0.074223835764616
0.01	0.125	UB	4     	0.0378732060109717
0.01	0.125	UB	5     	0.01893613735685503
0.01	0.125	UB	6     	0.00975754555647349
0.01	0.125	UB	7     	0.005133495995401942
0.01	0.125	UB	8     	0.00270664728469064
0.01	0.125	UB	9     	0.001430724298722028
0.01	0.125	UB	10    	0.0007599086631621243
0.01	0.125	UB	11    	0.0004048364552124091
0.01	0.125	UB	12    	0.0002160272150888423
0.01	0.125	UB	13    	0.0001154477177253292
0.01	0.125	UB	14    	6.177905179009197e-05
0.01	0.125	UB	15    	3.309250581345669e-05
0.01	0.125	UB	16    	1.7739817568901e-05
0.01	0.125	UB	17    	9.515709379299545e-06
0.01	0.125	UB	18    	5.106867998705069e-06
0.01	0.125	UB	19    	2.741855815606518e-06
0.01	0.125	UB	20    	1.472574302030871e-06
0.01	0.125	UB	21    	7.910912313074698e-07
0.01	0.125	UB	22    	4.250808941318714e-07
0.01	0.125	UB	23    	2.284520903632339e-07
0.01	0.125	UB	24    	1.227958005134195e-07
0.01	0.125	UB	25    	6.601241425536127e-08
0.01	0.125	UB	26    	3.549051774779486e-08
0.01	0.125	UB	27    	1.908254038947271e-08
0.01	0.125	UB	28    	1.026103167813715e-08
0.01	0.125	UB	29    	5.517873819268881e-09
0.01	0.125	UB	30    	2.967386967255775e-09
0.01	0.125	UB	31    	1.595859990712198e-09
0.01	0.125	UB	32    	8.58283286199753e-10
0.01	0.125	UB	33    	4.616144093298246e-10
0.01	0.125	UB	34    	2.482783519723141e-10
0.01	0.125	UB	35    	1.335387896075142e-10
0.01	0.125	UB	36    	7.182632712118116e-11
0.01	0.125	UB	37    	3.863370003736462e-11
0.01	0.125	UB	38    	2.078042038562041e-11
0.01	0.125	UB	39    	1.11775557718482e-11
0.01	0.125	UB	40    	6.012333820818244e-12
0.01	0.150	LB	1     	0.4235911609524683
0.01	0.150	LB	2     	0.2011475534099533
0.01	0.150	LB	3     	0.1140960905117838
0.01	0.150	LB	4     	0.06530956191868653
0.01	0.150	LB	5     	0.03701256230351169
0.01	0.150	LB	6     	0.02143107437695804
0.01	0.150	LB	7     	0.01261894303354145
0.01	0.150	LB	8     	0.007464788656045207
0.01	0.150	LB	9     	0.00443037953408541
0.01	0.150	LB	10    	0.002640244817705584
0.01	0.150	LB	11    	0.001578221387661953
0.01	0.150	LB	12    	0.0009452895424610034
0.01	0.150	LB	13    	0.00056712446084124
0.01	0.150	LB	14    	0.0003407266449653537
0.01	0.150	LB	15    	0.0002049400363655115
0.01	0.150	LB	16    	0.000123379274116788
